date,pm25,precip,temp
1/1/16,8,0,1.95
1/2/16,12,0,0.85
1/3/16,9,0,0.55
1/4/16,3,0.508,0.8
1/5/16,11,0.254,-5.6
1/6/16,50,0,-6.4
1/7/16,42,0,-1.35
1/8/16,30,0,1.35
1/9/16,8,3.81,-0.3
1/10/16,5,11.938,8.05
1/11/16,9,5.08,0
1/12/16,8,2.794,-6.35
1/13/16,11,13.97,-6.1
1/14/16,15,0,-7.75
1/15/16,13,0,-0.85
1/16/16,9,4.572,5.3
1/17/16,7,0.508,2.5
1/18/16,9,0,-5.25
1/19/16,10,0,-10.55
1/20/16,10,0,-11.4
1/21/16,13,38.862,-8.9
1/22/16,9,0,-6.65
1/23/16,3,108.712,-7.5
1/24/16,16,,
1/25/16,42,0,-7.8
1/26/16,11,0,-3.05
1/27/16,6,,
1/28/16,11,0,-1.4
1/29/16,7,1.27,0.25
1/30/16,12,0.254,-1.65
1/31/16,18,0,4.2
2/1/16,10,1.016,7.25
2/2/16,12,0,4.45
2/3/16,9,1.778,4.75
2/4/16,6,3.556,10.3
2/5/16,7,0,1.7
2/6/16,12,0,0.55
2/7/16,26,0,2.5
2/8/16,27,0,2.5
2/9/16,11,1.016,1.9
2/10/16,13,1.524,0
2/11/16,7,0,-4.7
2/12/16,12,0,-7.75
2/13/16,5,40.132,-7.75
2/14/16,10,0,-12.25
2/15/16,6,2.794,-9.75
2/16/16,8,28.194,-0.55
2/17/16,11,11.176,1.65
2/18/16,5,0,-2.5
2/19/16,7,0,-2.5
2/20/16,17,0,6.4
2/21/16,30,0,7.2
2/22/16,5,0,6.95
2/23/16,5,0,6.65
2/24/16,2,4.318,7.75
2/25/16,8,17.272,10.3
2/26/16,4,2.286,1.1
2/27/16,13,0,-1.4
2/28/16,15,0,1.9
2/29/16,14,0.508,9.45
3/1/16,16,0,6.1
3/2/16,5,5.588,8.3
3/3/16,5,0,-1.95
3/4/16,9,3.556,-0.55
3/5/16,10,0,0.85
3/6/16,17,0,3.05
3/7/16,19,0,2.25
3/8/16,24,0,8.05
3/9/16,27,0,14.75
3/10/16,16,0,15.55
3/11/16,6,15.494,12.8
3/12/16,15,0,8.05
3/13/16,10,0,11.65
3/14/16,6,6.858,15.3
3/15/16,7,3.81,15.3
3/16/16,10,0.254,12.5
3/17/16,14,0,14.45
3/18/16,12,0,10
3/19/16,7,0,8.9
3/20/16,7,0.254,4.45
3/21/16,8,2.286,2.25
3/22/16,15,0,1.4
3/23/16,25,0,6.7
3/24/16,15,0,14.15
3/25/16,8,3.81,16.1
3/26/16,10,0,6.95
3/27/16,20,0,9.2
3/28/16,9,1.524,14.7
3/29/16,7,0,10
3/30/16,20,0,5.6
3/31/16,14,0,10
4/1/16,11,1.27,18.05
4/2/16,9,1.27,13.05
4/3/16,8,5.588,8.05
4/4/16,12,0,6.1
4/5/16,10,6.858,6.4
4/6/16,8,0,2.25
4/7/16,11,0,8.35
4/8/16,8,1.27,5.3
4/9/16,9,3.302,4.75
4/10/16,11,1.016,-0.85
4/11/16,16,0.508,3.6
4/12/16,5,14.478,11.95
4/13/16,5,0,5.3
4/14/16,7,0,7.25
4/15/16,9,0,11.1
4/16/16,21,0,13.35
4/17/16,36,0,14.7
4/18/16,31,0,17.5
4/19/16,13,0,18.65
4/20/16,4,0,15.25
